2811/6/191|whoever314/12345ieee|||C,CNB,CNP,CNBP
2813/6/185|whoever314/12345ieee|||
2817/6/184|whoever314/12345ieee|||
2817/6/252|whoever314|https://youtu.be/Q60p24ZYUFQ|video|
5993/5/223|Leylite/12345ieee|||
6216/6/180|Sniper_John_Uk|||
7996/5/102|davenger|https://youtu.be/ZgtAk1_EWBE||S,SNB,SNP,SNBP
9355/3/247|whoever314/12345ieee|||RC,RCNB,RCNP,RCNBP
13559/3/270|whoever314|https://youtu.be/ZQlUD0WYoZc|video|
20928/4/211|Criado|||
21214/4/203|Criado|||
34923/3/183|12345ieee|https://youtu.be/ZL9Ar91zlno||
47540/3/105|Zig|||RS,RSNB,RSNP,RSNBP
47541/3/105|Zig/12345ieee|https://youtu.be/i15hansZXVM|video|
