457/1/93|Andy|||C,CNB
480/1/103|whoever314|https://youtu.be/7WaQPvXcgX4|video|
488/1/88/B|ToughThought|https://youtu.be/eXTGwp-AY28||
498/1/85|ToughThought|https://youtu.be/LFRv1A7JFjA||
546/1/73|whoever314|||
576/1/65|whoever314|||
598/1/46|Andy|||
1044/1/36|12345ieee|||
1753/1/31|12345ieee/YellowBunny|||
1766/1/30|12345ieee/YellowBunny|||
1847/1/29|12345ieee/YellowBunny|||
1932/1/28|12345ieee/YellowBunny|||
2095/1/23|YellowBunny|||
2599/1/23|Andy|https://youtu.be/GWTP2WiMBAY|video|
6247/1/21|YellowBunny|||S,SNB
8094/1/21|Andy/12345ieee|https://youtu.be/9GzfGdr2R1Y|video|
